aalug-alog	shaky, rickety
magtulong-tulong	to "pitch in"
magtulungán	to help each other, to join forces
magtungo	to head toward, to head somewhere
magturing	to consider, regard, think of
magulang	parent, of age, old; ripened; deceptive, sly
magulat	to be shocked
magwalâ	to go amuck
magwalang-bahala	to not pay atention to
magwalís	to sweep (as a floor)
magyabáng	to boast, to brag, to show off
mahabà	long (in physical length or time duration)
mahába-habà	fairly long
mahál	love; expensive
mahalaga	important, integral
maharlikâ	noble, aristocratic
maharot	unladylike, coarse, unrefined, boisterous
mahawa	to become infected
mahigit	more than (sa)
mahigpit	tight, tightly; strict, severe
mahíhingán	as noun, "those who will be asked to help" (hingî)
mahilig	inclined toward, fond of
mahimasmasán	to regain consciousness or regain one's senses
mahina ang tuhod	“weak-kneed” = having a frail body
mahinahon	calm, cool, dispassionate, self assured; mild; calmly, mildly
mahinhín	modest
mahirap	difficult; poor, indigent
mahirapan	experience difficulty; experience labor in childbirth
mahiwagà	mysterious, miraculous, magical (hiwagà)
mahulaan	to be able to guess
mahuli	to catch/arrest someone/thing or to be caught/arrested (focus on one/thing caught)
mahuli	be apprehended/arrested; be detected; bag (hunting); be trapped
mahulí	to be late; be delayed; lag; fall behind (actor focus)
mahuli	become senile
mahulog	to fall, to be dropped (focus is on the one/thing falling or dropped)
mahusay	skillful, capable, methodical
maiba	to feel out of place
maigi	well, thoroughly, alright (igi)
maikailâ	to be able to keep secret, to be able to deny
maiklî	short, brief
maiksî	short in length
mailagay	to be able to put
mailarawan	to describe something
maínam	pleasant, tasty, good, exquisite, delicate; elegant, gentile
maingay	noisy
mainis	to be annoyed
mainit	hot
maintindihan	understand(ing)
maisá-isá	to enumerate something (object focus)
máisalarawan	to be able to visualize something; to be able to picture something (object) <náisalarawan, naisásalarawan, maisásalarawan>
maitalâ	to measure up to (actor); to be able to measure or record (object)
maiwan	to leave something behind
makaabot	to "measure up", "make it" somewhere/on-time, make/achieve some objective or standard (ang -> sa) [mn]akákaabot
makaakó	conceited, egotistical
makabayan	patriotic
makabuluhán	meaningful; relevant; significant (bulo)
makagantí	to get revenge, payback
makagitgit	(gitgit) to advance by repeated slight movements
makahigít	to (be able to) exceed
makailán	several times, several
makaipon	to be able to save (money, etc)
makaisip	to be able to think
makakalimutin	forgetful
makakarating	will be able to come
makakasama	able to go with
makakáya	ones full capabilities; future of "makaya" (to be able to do)
makakita	to happen/be able to see (one or some of many, or non-specific thing); catch sight of; be able to find (actor)
makálawá	two days (after / from now); twice
makalilimutan	to be able to forget something
makalimutan	to forget, neglect (Malimutan and makalimutan are free alternants.)
makalimutin	forgetful
makalipas	after (having passed, the passage of time) (makalipas ang isang araw -> a day later)
makaluma	olden, old-fashioned
makamandág	venomous
makamít	to achieve, to gain
makamkám	rapacious, greedy, want to have all
makamtan	to get, to obtain
makapagbigáy	to be able to give/provide
makapaghain	to be able to prepare for / lay the groundwork for / file (a complaint, case, etc.)
makapaglakbay	to be able to travel
makapangyarihan	strong, powerful, authoritative, almighty; power, strength
makapál	thick, dense, abounding
makapili	traitorous
makápúlot	to happen to pick up, find
makaraán	to pass, passed, "upon the passing of"
makaraán	like "nang" for "when/upon occurance of a (past) event"; after (like pagkatapos: "makaraang bumagsak ang pader sa kanya")
makáramdám	to feel
makasanlibutan	something like humanity or worldly people.  used in biblical translations for "one who is in the world" (John 4:4), isang katauhan
makasarili	selfish
makatà	poet
makatagpô	to discover, come across
makatao	humanitarian, humane
makatarúngan	just, fair
makatí	itchy
makatotohanan	realistic
makatulog	to be able to sleep
makatulong	helpful; to be able to help
makatuturán	significant, of value  
makatwiran	rational, reasonable
makausap	to talk to someone (ma-, object focus, ma-kausap: ng -> ang)
makiisa	to join with others in some action (nakiisa, nakikiisa, makikiisa)
makíkipag-úsap	will converse with, communicate with (actor/talker focus, typically initiator of discussion)
makikipagsapalaran	hazard; risk; take a chance (jointly)
makíkiraán	please let me pass by
makilala	to meet
makilala ang pagkakaiba	to differentiate
makina	engine/operating components, eg as of a vehicle
makinabang	gain, earn, realize, profit, get advantage from (root: kinabang)
makiníg	to hear, to listen (dinig)
makinilya	type; typewriter
makinílyahín	to type
makintáb	shiny, glossy
makipag-úsap	to converse with, communicate with (actor/talker focus, typically initiator of discussion)
makipagbati	to reconcile, make peace
makipaggitgitan	(gitgit) to advance by repeated slight movements, to go forward by force
makipaghiwalay	to split up
makipagkapwa-tao	to get along with others
makipagkasundo	to make a contract with someone, to reconcile or come to terms with someone
makipagkita	to meet up with (actor) -> sa
makipagpalitan	to exchange, to barter
makipagtagísan	to compete (in brains or speech)
makipagtalik	to have sex
makisabay	to go at the same time
makisama	to get along with (ang -> sa)
makísig	dashing (man)
makislap	luminous, brilliant, glittering, lambent, lucent
makita	to see, find (a *specific* thing) (obj. focus)
makiusap	to request, ask for, plead
makukuha	attainable, that can be achieved
makulít	importunate, pesky; a person who is a pest (also "mangulit")
makulong	be confined, be interned; be shut in (in a crowd)
malabò	blurry, hazy, obscure, dull; unlikely, not possible
malagím	gloomy, glum
malakas-lakas	somewhat strong
malalâ	serious, acute
maláman	to know, learn about, discover, or figure out something
malálim	deep
malamán	meaty (lamán)
maláman	to know / be aware / learn about / discover something (obj); to find out (actor); (alam) 
malamáng	obviously, likely, most likely, probably; apt
malamáng na hindi	unlikely
malambót	soft, tender
malamig	cold
malampasan	be able to overtake
malansa	fishy, having a fishy smell or taste
malaot	far away, far out in the open sea
malapit	to approach, impend, be near at hand (nalalapit, nalapit, malalapit)
malapít	emotionally close
malápit	near, close, soon; toward; closely
malas	bad luck; unlucky; intent or searching look; sight, view
malasákit	concern; empathy; solicitude (note: this word is a ROOT) (also pagmamalasakit)
malawak	wide, extensive, vast, with a wide range; to widen, broaden (lit/fig)
málay	knowledge, awareness, consciousness
malaya	free, emancipated
malayo	far away
maleta	suitcase, luggage
malî	wrong
maliban	unless, if not
maliban kung		except for, absent / if not X
maliban sa	aside from
maligalig	troublesome, tumultuous
maligamgám	lukewarm; confused, chaotic
máligáw	to lose one’s way
maligáya	happy, joyful (ligáya)
maligayang bati	joyful wishes (happy birthday)
maligno	evil spirit
maliin	consider as wrong or mistaken (minamali, minali, mamaliin)
maliitín	to make little of, to belittle
malikhain	creative
malilimutin	forgetful
malímit	often
malimutan	to forget, neglect (Malimutan and makalimutan are free alternants.)
malinamnám	tasty
malinaw	clear, obvious, apparent
malinga	a plant similar to squash with sweet fruit, sweet squash
malinis	clean, neat, hygienic; clear, chaste
malipat	to be moved, to be transferred; to be able to move
maliputô	short-bodied person; jackfish; pike
malisya	malice
maliwanag	bright, clear, distinct
malubak	potholed, full of potholes
malubáy	calm, relaxed, slack
malubhâ	serious, dire (often ref to sickness or medical condition)
malugód	to be pleased or content
maluhò	luxurious, extravagant
maluló	to be hooked on a bad vice, to be addicted; to fall into a bad situation
malunggáy	a common leafy green vegetable/herb in the Philippines with a taste like horseradish that is full of vitamins and often used to treat illness
malungkot	sad
malungkutin	prone to sadness
malunod	drown, be drowned (e.g. in joy)
malupít	cruel, brutal
maluwang	spacious; with many rooms; baggy
mamà	term of address for an unknown man
mamâ	to chew betel leaves
mamalengke	to go shopping in a wet market
mamamaalam	saying goodbye
mámamayán	citizen; resident of a city/town; national (mangCV-báyan)
mamangkâ	to go by boat, to go boating (bangkâ)
mamanhik	to appeal, make an appeal (namamanhik, namanhik, mamamanhik)
mamasada	to operate a public transport vehicle (e.g., jeepney, bus)
mamasukan	to have a job
mamayâ	later today
mamayâ pa	not now, but later today
mamayagpág	to flap ones wings (lit/fig) (namamayagpag, namayagpag, mamamayagpag)
mamayan	to live or reside in a town (báyan)
mambabae	fool around with women; to have a mistress
mamighatî	to be in anguish or distress, to suffer affliction (namimighati, namighati, mamimighati)
mamilipit	to writhe, squirm, convulse
maminsan-minsan	occasionally
mamuhunan	to invest
mamugad	to infest
mamulot	to pick up things, glean
man	X ever; although, even if, with, too; whether, "contrast to what precedes"
man lamang	the minimum/least (magluto ka man lamang sana -> the least you could do is cook)
mana	inheritence (can be traits or wealth, etc.)
managinip	to dream, have a dream
manaig	prevail, override, overrule, conquer, predominate, surpass (daig)
manakot	to scare (mang-)
manalángin	to pray (Actor Focus), to pray for something (Object Focus)
manalasà	to attack, to assault
manalig	to have faith/entrust (in/"sa"). actor focus (salig)
mánang	elder sister; a familiar term for a woman in her 40’s or thereabouts even if not related to her
mananghalian	have lunch (together?)
manatili	to remain, to stay, to be permanent, to keep, to maintain
mandahas	violate; use force against
mandaraya	cheater, one who goes around the rules
manduhan	to be in authority over
mandurukot	pickpocket
maneho	management; act of managing; driving (vehicle)
manermon	to give a sermon
mang	shortened "mamang = mamà + na", used like "mister <foo>", where <foo> is always a first name, eg "mang freddie"
mang-aagaw	someone who snatches away (a thing or lover)
mang-ahit	to shave someone
mang-uyam	to be sarcastic; to be mocking
mangaging	pluralized 'maging'
mangahás	to venture; to take by force; to betray
mangahulugan	to mean, denote, signify
mangailangan	to need something (actor) <nangailangan, nangángailangan, mangángailangan>
mangako	to promise
mangambâ	to feel threatened; to feel fear
manganib	to be in danger; to be threatened
mangarap	to dream
mangatuwiran	to reason (tuwid)
manggagawà	a worker
manggalaw	to move
manggaya	to imitate, mimic
manghamak	to insult, disparage
manghihilot	folk medicine healers
manghimások	interfere (pasok)
manghingi	to ask for
manghuhula	fortune teller
mangikil	to ask for money, chisel, bum (kikil)
mangilabot	feeling creeped out
mangilid	to line, encircle
mangiló	to feel a tingling sensation in the teeth; to have a nerve pain in the teeth
mángingisdâ	a fisherman
mangisáy	to convulse
manginíg	to shake, shiver, tremble (nginig)
mangisdâ	to fish
manglamang	advantage over others (noun)
mangmáng	uneducated, ignorant, illiterate
mangulila	to yearn (as like an orphan)
mangulo	to head, preside
mangyari	to happen, take place
manhid	numbness; torpor, torpid condition
manî	peanut
manibughô	to be jealous
manigo	prosperous; fortuitous (used primarily only as "Manigong Bagong Taon")
manikluhód	the action of kneeling and pleading for mercy or forgiveness
maniobra	maneuver
manirahan	to live for a while, dwell
maniwala	to believe, trust (tiwala)
manlamig	to be cold to someone
manliligaw	suitor
manloob	rob, steal; raid and rob with violence
mano	the act of raising an elder's hand to your forehead to show respect; handful; by hand
mánong	older brother; from the Spanish hermano. This is the male equivalent of manang.
mánonoód	spectator, bystander, watcher
manoód	to watch
mantika	oil
mantikilya	butter
manugang	son-in-law or daughter-in-law
manukso	to tempt; to tease
manuluyan	to stay in someone's house
manumpâ	to pledge/swear/attest to; to swear in (to a position) (sumpâ)
manyakis	pervert (from "sex maniac")
maông	jeans
mapa-oo	to convince, get someone to say "yes" 
mápa	map
mapag-usápan	to discuss, to settle matters, to be talked about
mapagbalátkayo	artful, deceiptful
mapágbigáy	generous
mapagpahinuhod	inclined to be agreeable
mapagkámalán	to misunderstand; to misconstrue. <napagkámalán, napápagkámalán, mapápagkámalán>
mapagkasunduan	to agree
mapagkunwarí	hypocrite
mapágmalakí	proud, snob
mapagmataás	arrogant, pompous
mapagpakumbaba	humble
mapagpakumbabâ	humble, modest (also pakumbabâ)
mapagpapalit	interchangeable
mapagsabihan	to be informed
mapaguusapan	hopeful collective focus/attention(?)
mapahiya	to lose face, to be put to shame
mapait	bitter, acidic
mapakagát	to make someone bite, to make someone agree to something, to bite something involuntarily, to agree to something involuntarily
mapalad	grateful
mapalaya	to free someone/something
mapaliwanag	to be able to explain something
mapamahiin	superstitious
mapanalunan	to win
mapangahás	audacious
mapanghí	smell of urine
mapangitan	to have an ugly impression of (napapangitan, napangitan, mapapangitan)
mapangitî	to cause someone to smile; to smile involuntarily or suddenly
mapangwasak	destructive
mapanira	destructive
mapanlabán	defiant, resisting, militant, antagonistic
mapanlikha	creative, inventive
mapanood	to be able to watch
mapansin	to notice
mapanukso	in the habit of teasing (tukso)
mapasaway	to be dissuaded
mapaso	be burnt, scalded etc.; be seared
mapatigil	to stop, to freeze; to stop suddenly; to stop a bad habit
mapatotohanan	prove-able
mapaunlád	to develop / be developed (focus on thing developed)
mapayapa	peaceful, at peace
mapilay	to suffer a sprain; to be crippled (lit/fig)
mapili	choosy
mapraníng	to be paranoid (colloquial/slangy)
mapudpód	to become blunt or dull
mapuruhan	to be directly hit and severely injured, as a hit to the head in an accident (mapuruhan ang ulo)
maputík	muddy
mapuyát	to lack sleep, to need sleep
marahás	violent, ferocious, audacious, drastic
maráhil	probably, perhaps (dahil)
marálitâ	indigent, poor, miserable (less common than mahirap)
maralitang taga-lungsod	urban poor
maranasan	to feel, experience (dánas)
marangál	noble, honest, reputable, imperial, knightly, honorable, dignified
mare	female friend, sis (also "kumare")
maricon	a sissy
marikit	dainty. This is an old-fashioned word for “pretty.”
máriníg	to hear
martilyo	a hammer
marúnong	to know how to do something; learned, smart, knowledgeable (dunong)
marupók	weak, materially weak, weak willed, fragile, flimsy (dupok)
mas	more (also "higit na")
maruya	fritter (fruits and other things)
mas	more
mas kaunti	less
masa	mass (as in mass of people, etc.); "the masses"
masagána	abundant, plentiful (sagána)
masagasà	to be run over
masagwâ	obscenity, indecency, awful, inappropriate, unsightly
masáhol	worse, inferior
masakim	avaricious, covetous, greedy, rapacious, selfish
masakit	painful, hurting, sensitive, sarcastic, sharp
masakit	persevering, diligent, great
masakláp	acrid, disagreeable, offensive, bitter, wretched
masakote	to be caught, apprehended, arrested
masaksihan	to witness something
masalimuót	complex, complicated
masalita	talkative
masamâ	bad, evil, wicked
masapian	demonic possession(?) (masapihan)
masapihan	demonic possession(?) (masapian)
masarap	feels good, enjoyable
masasayang	will waste
masayá	happy, fun
maselan	fastidious, meticulous, particular
masibà	gluttonous
masigásig	enthusiastic
masiglá	ardent, enthusiastic, animated, playful, sprightly, keen; quickly, briskly, smartly
masikap	diligent, industrious
masikíp	tight, congested (as in traffic)
masikmura	to be able to stomach something
masilaw	dazzled
masimót	to be able to consume all of something
masinsin	dense
masipag	hardworking
masira	spoil, damage, break down
masiyahán	to approve; to be satisfied; to be contented
maskí	although, even though, nevertheless, however, whether, aside from; even, mere (sp. "mas que", bagamán)
maskí na	even if/then/though
maso	mallet, sledgehammer
masugid	active, industrious, diligent
masukal	savage, wild, dense, thick (súkal)
masúngit	grouchy, ill-tempered
másunurin	obedient
masuwa	to be butted (as a head-butt, etc.)
masyado	"too", more, exceedingly, very (labis)
matá	eye
mataás	tall, high
matabâ	fat; enriched (as in soil)
matabáng	insipid, bland, lacking taste, tasteless, walang lasa
matabunan	to take in, to absorb
matagal	long in duration
matagpuán	to happen to find, discover, or just to occur
matagumpay	successful
matahimik	quiet
matakot	to be afraid
matakpán	to hide; to block (takíp)
matalas	sharp (lit/fig), keen; acute; sharp (ref. to the intellect or hearing)
matalíno	intelligent, bright
matamaan	to (be) hit (by) something
matamaan	to come against with force
matamis	sweet (adj); dessert (n)
matamláy	lethargic, listless, languid, having no energy
matanaw	view (n)
matanawan	to see from a distance
matandâ	old
matandaan	to remember something
matangkád	tall
matanong	inquisitive
matanso	to be tricked/fooled/duped
matantô	to realize; be able to comprehend
matao	crowded
matapang	brave, courageous (tapang)
matapát	loyal, faithful, sincere
matapos	after
mataranta	to be confused
matáray	snobby, sassy, bitchy (referring to women)
matastás	to come unravelled/unstitched
matauhan	to recover consciousness
matengga	to be put on hold, suspended (actor); to put something on hold, suspend something (object)
matigás	hard, tough, stiff
matigil	to be stopped or suspended; taken aback, briefly shocked; stop; come to an end
matik	automatic, immediate(ly)
matimbang	weighty, heavy, significant, important; to be weighed, to be able to balance
matimtíman	reserved, modest (referring to a woman) mahinhín, may natatanging hinhin (pagsasaalang-alang sa kagandahang-asal at wastong pananamit, pagsasalita, at pagkilos
matindi	intense, severe, extreme (syn. grabe, sobra)
matinding-matindi	very severe
matingkad	bright (colored)
matinik	thorny
matipunò	robust, sturdy, strong and healthy, burly, hardy
matira	sturdy, tough, strong, hardy
matira	to endure, survive
matiwasáy	peaceful, secure (tiwasáy)
matiyagâ	diligent, persevering
matiyak	to ensure, be certain
matiyempuhán	to be caught in the act
matumal	slow (business)
matuto	to learn (actor focus)
matutunan	to learn something; to find something out; to experience something
matuwa	to enjoy, have fun, be happy
matwíd	first, just, legitimate
maubusan	to run out of something (actor focus!)
maugà	wobbly, loose, rocky, shaky
mauná	"go first", to go/be first, to lead
mauná	"go first", to go/be first, to lead
maunawaan 	to be able to understand; to make sense, to be understandable, to be reasonable
maúnawaín	understanding (ma-unawa-in)
maungusan	to get ahead of something; to be able to get ahead of something
maunlád	progressive
mauntól	to be put on hold (AF); to put something on hold (OF)
maupós	to become faint (as in a light)
mausok	smoky
mautak	brainy
mautas	to have ended or terminated, consummated
mauwi	to develop into, to happen as a result
mawalâ	to be lost, to vanish, to disappear (focus on the thing lost)
mawalán	to lose something (actor focus!)
mawalang-galang	apologies for being disrespectful
mawari	discern, perceive, distinguish, comprehend
mawawala	will be lost, vanish, disappear
may-arì	owner
may-gulang	adult
may gustó ka ba sa	do you like X?
may-itsúra	has an attractive appearance
maya-maya	a bit later (today)
mayabong	leaf, with thick foliage
mayá't-mayá	time and again; always; every now and then
mayaman	rich, wealthy
mayari	to be finished, to be made, slang: to be killed
maykapál	Creator; God
mayumi	demure; tender
mensáhe	message
meryenda	afternoon snack
mga	pluralizer; about, approximately
mga kahingían	requirements
milagro	miracle (similar to himalâ)
mamilipit	to wriggle, to squirm (milipit)
miming	kitty-cat
minana	inheritance, heritage
minsan	sometimes; once, at one time (in the past), sometime (in the future)
minsanan	a one-time thing
miron	spectator, curious onlooker
mismis	in the midst/middle/thick of something(???)
mismo	self, myself, himself, herself "siya mismo -> he, himself"; exactly, precisely; very, actual
mithî	great ambition, ideal, earnest wish
mithiin	crave for, long for keenly, desire vehemently
mitsa	wick (part of an oil lamp or candle)
módo	manners, civility (asal, ugalì)
mongha	nun
moóg	thick stone wall; fort
morena	brown skinned (also kayumanggi)
mudmód	distribution
mukha	face; seems, appears to be, apparently, "looks ..", "looks like .."
mulâ	originate, start from, stem from
mulát	with open eyes; educated; trained (dilát)
mulî	again
múlta	fine, penalty
multó	ghost
muna	first, beforehand; for now
mungkáhi	recommendation, suggestion, proposition, proposal
munì	(n) thinking logically and with reason
muntî	little
muntik	nearly
musmós	innocent, naive, child
mutyá	amulet, charm; pearl; jewel; darling [fig.]
muwang	sense, grasp, comprehension, understanding
na	now, by now, as of now, already, that, anymore, by now; linker; emphasizer
na lang	only, just, of little value now (isa na lang -> only one is left now)
na namán	combination of again/already/really
na rin	used to emphasize, eg "namatay na rin"
naaalala	to remember (like natatandaan)
naaawa	to pity
naaayon	associated with
naabutan	happened to encounter
nabábagabag	distraught
nabubulól	stammering, stuttering
nabuhayan	to re-live something
nadalâ	has become wary
nadulás	slipped; inadvertently blurted something out (nadulás ang dilà)
nag-aalala	worrying
nag-iipon	saving
nag-íisá	alone; only; solitary; solo; single; unique
nag-íisáng anak	only-child
nagawa	an action done
nagbubuklod	binding
nagdadalantao	pregnant
nagiging	"gets"/"getting"/"become"/"becoming"
nagíng	"became"/"was"
nagkaganoon	happened that way
nagkáisá	to unite
nagkalituhan	(people) getting mixed up
nagkapalit	ended up switched
nagkaroón	had
nagkúsa	willingly
nagmamadali	hurrying, in a hurry
nagpakalunod	drowned oneself in
nagpapalakas	makes you strong; to stay on the good side of someone (slang)
nagpapalusóg	nourishes
nagpapatáy	to be killing someone
nagpapátay	to have had someone killed
nagpigil	controlled/stopped (oneself)
nagsawa	fed up
nagsipatnubay	guide, companion, escort
nagsísilbí	serving
nagwagî	won
nahihibang	delirious, “crazy”
nahulog	fell
naidudulot	can offer
naipagpapalit	can be substituted
naipakita	showed
naipit	was squeezed/caught in something
naipuwesto	was able to put in place
nais	desire, wish
naisin	wish for something
naiwan	left
nakababátà	younger
nakabubuo	constructive (helpful)
nakabukas	is open
nakagagayak	decorative
nakakaantók	yawnful/boring
nakakadaos	surviving
nakakahawa	contagious, infectious
nakakainis	irritating, annoying
nakakakilabot	fearsome
nakakalason	poisonous
nakakalito	confusing
nakákaloka	drives one crazy (also (kaloka" or "kaluka")
nakakalungkot	depressing, makes one sad (also nakalulungkot)
nakakapahinga	relaxing
nakakasawa	describes things that never get tiresome or old
nakakasilaw	blinding
nakakatakot	scary
nakakatawa	causing laughter, funny, comical
nakakatuwa	amusing, funny, fun
nakákaupô	to be able to sit down
nakakausap	able to talk (with)
nakakuha	was able to get
nakalaán	reserved for, destined for, intended for, associated
nakalagáy	placed, in place, situated
nakalibing	is buried
nakalikha	was able to create
nakalimot	forgot
nakalimutan	to have forgotten
nakalipas	past/passed by/the past (?)
nakaluha	crying
nakamamatay	can be fatal / cause death
nakambâ	threatening  (naka + amba)
nakapalda	wearing a skirt
nakaparada	parking
nakapasa	was able to pass (a test for school or work)
nakapasok	entering
nakapuwesto	in position
nakaraán	prior, previous, most recent (daan)
nakarananas	is experiencing (dánas)
nakaratíng	being somewhere, to be somewhere
nakasaksak	plugged in
nakasalubong	encountered / bumped into
nakatagilid	askew, tilted
nakatakda	is set, fixed (in time, amount, etc.)
nakatakíp	covered; covered by a lid (takíp)
nakatakíp	something acting as a lid; (takíp) [adjective] covered; covered by a lid (takíp)
nakatalagá	prepared
nakatanod	is on guard; is watching over…
nakatarak	knife or dagger sticking out with a sharp end embedded
nakatengga	lying idle or on hold
nakatikim	to have tasted/tried something
nakatungo	with head bent down
nakatutulong	helpful
nakauuhaw	causing thirst
nakauuyám	cynical, sarcastic
nakaw	stolen item
nakikipagbunô	to engage in wrestling = to engage in a personal battle
nakilala	met
naku	oh!, oh my!, omg! (from "ina ko!") (also nku, naks, haynako, aynako, aynaku)
naku po	oh, dear (nakupo, nakupu)
nakuha	got, managed, "got it" (kúha)
nalalabî	remaining (eg, remaining parts - nalalabîng bahagi)
nalaláman	being conscious/aware of, knows
nalalapit	approaching (lit or fig)
naláman	found out
nalampasan	overtook
nalibáng	amused, had fun
nalito	became confused
nalulunod	is drowning
nalunod	drowned
namamagâ	swollen
namamalimos	one who engages in begging
namán	also, too; all things considered; really, truly, anyway; please!; also used to soften requests and questions
namanghá	amazed
nambola	flattery
namimilipit	is writhing, squirming, convulsing
namiminto	expected/likely to happen soon ("on the threshold") (pintô)
nanà	pus
nanay	mother (inay)
nandidito	is/are here
nandito	here (same as narito)
nandiyán	am/is/are there
nang	when (for past event), since/upon/on/at/to/so, so as, so that, in order that; adverbial linker; na+na
nang tuluyan	eventually
nanghipo	touched
nangulila	yearned
nangyari	incident; happened
nangyayári	a happening, event; is happening
nanlamig	became cold
nanlilito	(someone) trying to confuse another
nanloob	burglar; entered, particularly unwelcomed
nanunuod	watching (actor)
napagbentahan	proceeds, amount received from sales
napahiyâ	was embarrassed by something
napakabagal	very slow
napakabaít	very nice, very kind
napakabilís	very fast, so fast, very quickly
napakadalî	very easy, so easy
napakadilím	very dark (lacking light)
napakagalíng	excellent
nápakagandá	very beautiful, very attractive, good-looking, magnificent
napakahabà	very long (in physical length or time duration)
napakahinà	very weak
napakahirap	very difficult
napakahusay	very skilled, very capable
nápakaingat	cautious
napakaingay	very noisy
napakainit	very hot
napakainosente	very innocent
nápakalakás	very strong, very loud
napakalakí	very big, huge, enormous, monumental
napakalamíg	very cold, too cold
napakalapit	very near, very close by
napakalayò	very far away
napakaliít	very small, minute (size), too small (yes, too small)
napakalinis	to be very clean
napakalungkót	very sad
napakamahál	much loved, very expensive
napakamahalagá	crucial, critical, most important, fundamental
nápakarami	very many, so much, too many, abundant, numerous
napakarumí	filthy, very dirty
napakasakít	very painful
napakasamâ	atrocious, very wicked, awful
napakasaráp	very tasty, very delicious
nápakasayá	very happy
napakasimple	very simple
napakasipag	diligent
napakasuwerte	very lucky, so lucky
napakataás	very high
napakatagál	very long (time)
napakatahimik	very quiet
napakatalino	very smart, brilliant
napakatulin	speedy, full speed
napakayaman	very rich
napansín	noticed
napapanahon	timely
napasakamay	to fall into the hands of
napatawad	was able to be forgiven
napilitan	was forced
napipintó	on the threshold; forthcoming; imminent; impending; upcoming
narating	arrived
naririto	is/are here
narito	here (same as nandito)
nariyán	nandiyán alternative
nasa edad	of age
nasa	is/are there in, be found, situated, included
nasa	wish, want, desire
nasaan	asking of location. more specific than saan. often shortened to 'nasan' or 'asan'
nasaan	whereabouts; where is/are?
nasabit	was caught (lit/fig)
nasagíp	rescued
nasaktan	(was/were) injured/hurt (sakit)
nasamsám	confiscated
nasasabík	to be excited
nasilaw	to be dazzled
natatakam	is being tantalized
natatandaan	to remember (like naaalala)
natilapon	was wildly thrown
natunaw	melted
naturang	such, said, mentioned, aforementioned (sym in use to sarili)
natutúnan	learned, something learned
naulíla	bereaved
nauunawaan	to understand
nawá	may (expressing a wish or hope)
nawawala	lost; something/someone lost
nayon	village; hamlet; "barrio" (local community) (also "kanayunan")
nek-nek mo	fuck you, up yours
nga	expresses a request; affirmation marker, "truthful, certain" (maganda nga siya -> she certainly is pretty)
ngangá	act of opening the mouth; having an open mouth
ngasáb	eating noisily like a pig
ngayón	now; today, nowadays
ngayón lang	just now
ngiló	tingling sensation in the teeth
nginíg	to shake, shiver, tremble
ngipin	teeth
ngiti	a smile
ngunit	yet/but, on the other hand
ni	of, by; neither, not even, nor; name marker
ni hindi	not even (Ni lapis, hindi siya nagdala.  He didn't even bring a pencil.)
ni isá	not even one
ni walá	not even (Ni lapis, walá ako./Ni walá akong lapis.  I don't even have a pencil.)
nilalamán	content(s) (noun, laman)
nilito	was confused by something
ninang	godmother; sponsor
ningas	flame
ningas-kugon	quickly going up in flames after starting something
nino	whose, post positive form of kanino. (Kaninong bahay, bahay nino? Whose house?)
ninong	godfather
ninunò	ancestor; grandparent
ninyó	you/your (plural)
nito	ng + ito - (of) this/these
nitso	tomb
niyebe	snow
niyog	coconut
niyó	ninyó
niyón	(of) that ("ng" form of "iyon"); "that one", some of that/those", etc., also written as "noón"
noó	forehead, brow
nood	root word related to watching (manoód, panoorín, etc.)
noón	indicator of the past; then, back when/in, during, at that time, last, prior, previously, formerly; alternate of niyón, "that one", "some of that/those", etc.
noóng isáng araw	"the other day"
noóng nakaraang taon	"last year"
normál	normal
nunal	mole on the skin
nung	"ng" marker alternative
nunò	tiny dwarf or fairy who lives in small mounds or anthills
óbra	a work (of art, etc.)
óbra maéstra	masterpiece
obrero	laborer
ogis	albino (anak-araw)
oras	hour, time
ordinaryo	ordinary
pa	still, yet, else, more
pa lang	indicates that something is just about to be done, has only recently happened, or "so far"/"until now"
pa pala	implies mild surprise that a condition still exists
paalala	reminder (alala) ("cause memory")
paalalahánan	to remind (focus on those being reminded)
paalam	goodbye, farewell
paalisin	to make someone go, to evict someone
paamoy	"let me smell.."
paano	how (pno, pnu, panu)
paano kung	what if
paano man	whatever the manner, etc
páaralán	school (outdated)
paarî	possessive
pababa	downward, "and under"?; something ordered to be brought down
pabago-bago	changing
pabaláng	hindi maayos (baláng)
pabalík-balík	recurring; coming back again and again; back and forth
pabayâ	without care or attention, careless, negligent (walang-ingat, bulagsak)
pabayaan	to leave something/someone alone, not bother or pay attention to
pabigla	suddenly
pa-bíling-bíling	turning over and over
pabongga-bongga	(adverb) in a wild, lavish, extravagant manner
pabrika	factory (pagawaan)
pabuya	a reward
padaliin	to make easy
pader	wall made of stone; concrete or stone wall of a house, etc
padulás	grease; payment, bribe
padyák	pedicab; pedal as in biking; stamping of the feet; sound of heavy steps; marking time (military term)
pag	(kapág) when, on, whenever, upon, in case that
pag-aabuso	(n) abuse; abusing; abusive behavior.
pag-aaksayá	(n) wasting.
pag-aakusa	(n) accusing; accusations.
pag-aalaga	caretaking, protecting
pag-aalagà	(n) care; protection.
pag-áalalá	(n) worries; warning; anxiety; worrying; foreboding; presentiment.
pag-aalay	(n) dedication; offering.
pag-aalay	an offering
pag-aalburoto	(n) throwing a tantrum, having a fit
pag-aalinlangan	(n) doubts; doubting.
pag-aalís	(n) removal; elimination.
