(mga) baryá	coins
Lumuhod ka sa harapan ko.	Kneel in front of me.
Lumuhod ka!	You kneel!
lumuhod	knelt
lumukso	hopped
lumundag	jumped
lumungkot	to become sad
lumuwag	became loose
lundag	jump
Lungsod ng Maynila	City of Manila
lungsód: bayan na higit na matao at malakas ang komersiyo, karaniwang	sentro ng politika at kabuhayan
lupa	land, country
Lupà: panlimang pinakamalaking planeta sa sistemang solar at pangatlong	pinakamalapit sa Araw; may diyametrong 12,681.6 km
lupain	landholding(s)
lupang-tinubuan	“land where one grew” = mother country
lupit	savageness, harshness
lupít: asal na hindi marunong magpakundangan o magpatawad sa kapuwa;	bangis ng pag-uugali
lusaw	to melt, dissolve
Lusawin ang asukal sa tubig.	Dissolve the sugar in water.
lutó (slang)	cheating, game fixing
Lutong makaw na naman ang eleksiyon.	The election was fixed again.
lutong Pinoy	Filipino cooking, Philippine cusine
luwagán	to relax, ease up
Ma! Nasaan ang baon ko?	Mom! Where’s my food to go?
Ma, anong oras na?	Mom, what time is it now?
Ma, nasaan ang báon ko?	Mom, where’s my packed lunch?
ma·gí·ting	heroic
ma·hí·rap	difficult, hard
ma·lam·bót	soft, tender
ma·lu·pít	cruel, brutal
ma·rá·hil	perhaps, possibly
ma·sa·gá·na	abundant
ma·sa·ráp	delicious
Ma… Pagod ka ba? May kailangan kasi ako, eh.	Mom… Are you tired? I need something, you see.
Maaari bang kumain?	Is it fine to eat?
Maaari bang matulog?	Is it fine to sleep?
Maaari itong maging problema.	This might become a problem.
maaarì: tumutukoy sa anumang posibleng umiral, maganap, magawâ, at iba	pa
Maaaring ganoon ang sitwasyon.	The situation may be like that.
maaasahan	reliable, dependable
maabutan	overtake
Maaga ang gising ko sa umaga.	I wake up early in the morning.
Maaga ka.	You’re early.
maaga	early
maaga	early
Maagang maaga.	Very early.
Maagap ang bata kaya hindi nahulog ang kanyang kapatid.	The child was alert so his brother didn’t end up falling.
Maalaala mo kaya?	I wonder if you’ll remember…
maalaala	to remember
maalalahanin	thoughtful
Maalat ito.	This is salty.
maalat na lasa	a salty flavor
maalat	salty
maalikabok na daan	dusty road
maalikabok	dusty (place, location)
maamong kalapati	gentle dove
Maasahan mo ako.	You can rely on me. I am dependable
Maasim ang kalamansi.	The calamansi is sour.
Maasim ba ito?	Is this sour?
maasim na sukà	sour vinegar
maasim	sour
maayos	orderly
mababa	low
mabagal	slow
Mabagsik ang tatay ko.	My father is sternly strict.
mabagsik	cruel, severe, fierce
mabagyong panahon	stormy weather
mabahong amoy	a bad smell
mabaít na bata	good kid
mabaít na bata	good kid
mabaít	nice, kind
mabanatan	to be beat up
mabatid	to be informed
mabato	stony, rocky
Mabenta ako sa mga Arabyano.	I’m popular with the Arabs.
Mabenta ang pula.	The red one is flying off the shelves.
mabenta	popular
mabigát	heavy
Mabilis ang takbo ng kotse.	The car is operating fast.
Mabilis itong magpagaling.	This cures quickly.
Mabilis mapunô ang basurahan.	The trash can gets filled up fast.
mabilis	fast, quick
Mabuhay ang lahing Pilipino.	Long live the Filipino race.
mabuhok	hairy
mabuo	to take shape
Mabuti ang mag-ehersisyo.	It’s good to exercise.
Mabuti kang anak.	You are a good child.
Mabuti na kaysa wala.	Better than nothing.
Mabuti na lang at marunong kang mag-Tagalog.	Good thing you know how to (speak) Tagalog.
mabuti	good
mabuting asal	good behavior
mabuting asal	good behavior
mabuting bata	good child
mabuting táo	good person
mabuting ugali	good manners
madagta	resinous
Madalas sumakit ang binti ko.	My legs often hurt.
madalás	frequently
Madali ito gawin.	This is easy to do.
madali	easy
madaling mapikon	easily / quickly provoked
madaling pakitunguhan	easy to deal with
madaling-araw	“soon to be day” = dawn
madamdamin	emotional, sensitive
Madasalin ang babaeng iyan.	That woman is prayerful.
madasalin	habitually praying
Madilim ang gabi.	The night is dark.
madilim	dark, dim
madla	people in general
madlâ: partikular na pangkat ng mga tao na may iisang interes, layunin,	at katulad
madlang tao	anyone / everyone
madulas	slippery
madulás	slippery
madulás	to slip
mag-abot	hand over
magaganap	will happen, will occur
magagawa	able to be done
magalak	to rejoice
mag-alalá	to worry
Magalang ang bata.	The child is respectful.
magalang	respectful, well-mannered
Magaling ka na ba?	Are you better now? (after a sickness)
Magaling ka na ba?	Have you improved? (at a skill)
Magaling na ako.	I’ve recovered. (from a sickness)
mag-anak	family
Maganda ang boses niya.	Her/His voice is beautiful.
Maganda ang buhok mo.	Your hair is beautiful.
Maganda ang gabi.	The night is beautiful.
Maganda ang takbo ng kotse.	The car runs beautifully.
Maganda ba ako?	Am I pretty?
Maganda ba ako?	Am I pretty?
Maganda ka talaga.	You’re really beautiful.
maganda	beautiful
maganda	pretty
Magandang gabi.	Good evening.
magandang nars	beautiful nurse
Magandang Pilipinas	Beautiful Philippines
Magandang umaga!	Good morning!
magasgás	to be scratched
magastos	costly
mag-away	to fight
magbaba	to lower
magbago ng isip	to change one’s mind
magbanál-banalan	to pretend to be holy
magbangka	to ride in a boat
Magbaon ka.	Bring some provisions with you.
Magbayad ka ng buwis.	Pay tax.
magbayad ng buwis	to pay tax
magbayad	to pay
Magbigay ng halimbawa ng bugtong.	Give an example of a riddle.
Magbigay ng halimbawa.	Give an example.
Magbigay ng isang halimbawa.	Give one example.
Magbigay ng mga halimbawa.	Give examples.
Magbigayan kayo.	Share with each other.
Magbigti ka na lang sa puno ng kamatis.	Just go hang yourself on a tomato plant.
Magbigti ka sa puno ng kamatis.	Hang yourself on a tomato “tree.”
magbigti	hang oneself
magbitiw ng salita	to utter a word
magbitiw	to resign
magbukid	to farm
magbulag-bulagan	pretend to be blind
magbuo	to assemble
magdasal	to pray
magdaya	to cheat, trick
magdikit	to stick together
maggiit (naggigiit, naggiit, maggigiit) verb	affirm; assert strongly
Maghanda ka nang maaga para hindi ka mataranta pagdating ng panahon.	Prepare early so that you won’t panic when the time comes.
Maghanda ka nang maaga.	Prepare early.
Maghintay ka lang muna.	Just wait first.
Maghintay ka ng ilang sandali.	Wait a few moments.
Maghintay ka.	Wait. W8. You wait.
maghintay	to wait
Maghugas ka muna ng kamay.	Wash your hands first.
Maghugas ka ng kamay bágo kumain.	Wash your hands before eating.
Maghugas ka ng kamay.	Wash your hands.
Maghugas ka ng kilikili.	Wash your armpit.
Maghugas ka ng paa.	Wash your feet.
maghukay	to dig
maghulog ng pera sa bangko	deposit money in the bank
mag-iba-iba	to keep changing
Magiging malaking problema iyan pagtanda mo.	That will become a big problem when you grow older.
magiging	will become
magigisnan	to awaken to
mag-ina	mother and child
maginaw na panahon	chilly weather
maging anuman	no matter what, regardless
Maging Masaya 🙂	Be Happy!
maging patnubay	to be a guide
Maging sino ka man	Whoever you may be
maging	to happen, become
Mag-ingat ka sa mga mandurukot.	Be careful of pickpockets.
Mag-ingat ka. Baka mabasag.	Be careful. Might break.
Mag-ingat ka. Baka mahawa ka.	Be careful. You might catch it.
mag-ingay	to make loud noise
Mag-Inggles na lang tayo.	Let’s just use English.
mag-Inggles	to use English
mag-isa	alone
mag-isip	to think of a plan
magiting	brave
magkadugo	having the same blood
Magkakambal sila.	They’re twins.
magkakambal	to be twins
magkaka-ugnay-ugnay	interconnected
Magkalapit ang mag-ina.	Mother and daughter are close.
magkalapit	to be close together
Magkano ang babayaran ako?	How much is the amount I am to pay?
Magkano ang dagdág?	How much is the added price?
Magkano ang ginagastos mo para dito?	How much are you spending for this?
Magkano ang hinihingi mo?	How much are you requesting?
Magkano ang ibinigay mo?	How much did you give?
Magkano ang kinita mo?	How much did you earn?
Magkano ang kita mo?	How much is your income?
Magkanong magagastos nila?	How much will they be able to spend?
Magkanong nagastos mo?	How much did you spend?
magkapantay	on the same level
magkapatid	siblings
Magkaribal sila.	They are rivals.
Magkasama sila.	They’re together.
Magkasama sila.	They’re together.
Magkasama silang pumunta.	They went together.
magkasámang pulong balitaan	joint press conference
Magkasintahan sila.	They are in a romantic relationship.
magkasintahan	sweethearts, lovebirds
magkasosyo sa negosyo	to be partners in business
Magkasundo sila.	They get along well with each other.
Magkatabi kami sa klase.	We’re next to each other in class. (seating)
magkatabi	side-by-side
magkatambal	to be acting partners (said of celebrities)
Magkatulad sila.	They are similar.
magkatulad	to be similar
magkaunawaan	to have an understanding of each other’s position
magkauri	to be of the same kind
Magkita tayo mamayâ.	Let’s see each other later.
Magkumot ka.	Use a blanket.
Mag-kunwari tayo…	Let’s pretend.
magkunwari	to pretend, to impersonate
Magkutsara ka.	Use a spoon.
Magkwentuhan tayo.	Let’s share stories (chat).
Maglaga ka ng itlog.	Boil eggs.
maglaga ng mga dahon	to boil leaves
maglaga	to boil
maglakò	to offer for sale
maglasing	to get drunk
maglingkod sa Diyos	serve God
maglingkod	to serve
Maglinis tayo.	Let’s clean.
Magluluto ako ng tinola.	I’ll cook chicken stew.
magmadali	to hurry
Magmadali!	Hurry up!
magmatanda	to play the role of an older person
magmungkahi	make a suggestion
magmungkahi	propose a suggestion
magmungkahi	suggest, recommend
magnakaw	to steal
magnanakaw	thief
Magpabakuna ka.	Have yourself vaccinated.
magpabatid	to give notice
magpagamot	to have oneself treated
Magpahinga ka muna bago magsimula ulit.	Rest first before starting again.
Magpahinga ka muna.	First rest a while.
Magpahinga ka na.	Rest already.
magpahirap	to make matters difficult
magpahula	to have one’s fortune told
magpahuli	to let oneself be caught
magpainit	to warm oneself
magpakahulugan	to interpret
magpakaliwa	to go left
magpakumbaba	to act humbly
magpalakas	to strengthen
Magpapahinga ako mamayang gabi.	I’ll rest later tonight.
Magpapahinga ka ba bukas?	Will you be resting tomorrow?
Magpapakasal kami sa Pilipinas.	We’re getting married in the Philippines.
magpaputok	to detonate, explode
magpasikat	to show off
magpatagal	to prolong
magpatamis	to sweeten
Magpatayo ka ng simbahan.	Have a church built.
magpatayó	to have something built
magpatubo ng balbas	to grow a beard
magpatubo	to grow a plant
magpatunay	to prove, testify
magpawis	to sweat
magpayaman	to enrich
magpula	wear red
magpulong	a lot of people to meet
magpulot-gata	to have or go on a honeymoon
magpuri	to priase, compliment
magsabi	to say, tell, state
Magsabit ka ng diploma sa sala.	Hang up a diploma in the living room.
Mag-sabon ka ng kamay.	Use soap on your hands.
mag-sabon	to use soap
magsalamin	to wear glasses
Magsalita ka!	Speak! / Talk!
magsalita	to talk, to speak
magsanay	to exercise, as in to practice
magsapì	to join together
magsarili	to become independent
mag-shampoo	to shampoo
magsikap	to endeavor, make an effort to
Magsimula ka nang maghukay.	Start digging already.
magsinungaling	to lie
magsisi	to repent, be sorry
magsumikap, pagsumikapan	to strive
magsuntukan	to box
Magsuót ka ng salawal.	Wear underwear.
magsuót	to wear
magsuri	to examine, review, probe into
magtabi	to set aside
magtagal	to last
magtagò	to hide
magtagpô	to meet, converge
magtaguan	to hide from each other
magtagumpay	to succeed
magtaká	to be puzzled
magtamong-ligaya	obtain happiness
magtanim ng palay	to plant rice
magtanim	to plant
magtanong	to question
magtapos	to finish
magtawíd	to carry across
magtayâ	to bet on
magtinda	to sell
magtuksuhan	to tease one another
magúlang	ripe, mature
mag-ulat	to report, give an account of
Magulo ang buhay sa Pilipinas.	Life is complicated in the Philippines.
magulo	confused, muddled, disorderly
magulong buhok	messy hair
Magulong-gulo ang isip ko.	My mind’s such a mess.
mag-umiyak	to cry at the top of one’s voice
mag-umpisa	to begin, commence
magunitâ	to remember
magwakas	to terminate, end
magwalang-bahala	to not pay atention to
magwalay	to separate from
mahaba	long
mahabaang paglalakbay	longish journey
mahabang buhay	long life
mahabang buhok	long hair
mahabang leeg	long neck
mahabang paglalakbay	long journey
mahabang panahon	long time
mahahalagang bagay	important things
Mahal din kita.	I love you too.
Mahal ka niya.	She/He loves you.
Mahal kita, sobra!	I love you, overly!
Mahal ko ito.	I love this.
Mahal Kong Ina	My Dear Mother
Mahal Kong Ina	My Dear Mother
Mahal mo akó.	You love me.
mahál, adj	expensive
mahál, n	love
Mahalaga ang pamilya.	Family is important.
Mahalaga ito.	This is important.
Mahalaga ka sa akin.	You are important to me.
Mahalaga sa kulturang Pilipino ang pakikibagay.	Conforming is very important in Filipino culture.
Mahalagang Paalala	Important Reminder
mahalagang pag-uusap	important conversation
mahalál	to be elected
Mahalin mo ako!	Love me!
mahangin	windy
maharlikâ	aristocratic
maharlikâ	noble
maharlikâ, maharliká: sa sinaunang barangay, ang pinakamataas na sangay	sa lipunan na binubuo ng pamilya at kamag-anak ng datu
mahawa	to become infected
mahigit sa anim	more than six
Mahigit sa dalawa ang dumating.	More than two came.
Mahigit sa isang daang piso ang natanggap ko.	I received more than one hundred pesos.
mahigit sa kaibigan	more than friends
Mahigit sa sampu ang nakita ko.	I saw more than ten.
mahigpit na hawak	tight grip
mahigpit	strict, severe
mahigpit	tight, tightly
Mahilig ako sa mga ipit.	I like hairclips.
Mahilig akong kumain ng maaalat na pagkain.	I love eating salty foods.
Mahilig akong manood ng sine.	I enjoy watching movies.
mahilig	fond of
mahina ang kaisipan	weak in thinking
mahina ang kapit	weak grasp
mahina ang loob	“weak inside” = a coward
mahina ang tuhod	“weak-kneed” = having a frail body
mahina ang ulo	“weak head” = feeble-minded
Mahina na ang tuhod ni Lolo.	Grandfather is weak-kneed now.
mahinang ulan	weak rain
Mahirap ang buhay, lalo na ngayon.	Life is hard, especially these days.
Mahirap ang buhay.	Life is hard.
Mahirap hanapin.	Hard to find.
Mahirap harapin ang madla pagkatapos ng nangyari.	It’s hard to face the public after what happened.
Mahirap ito.	This is difficult.
Mahirap kami.	We are poor.
Mahirap kumita ng pera sa panahong ngayon.	It’s difficult to earn money in these times.
Mahirap maging duktor.	It’s hard to become a doctor.
Mahirap magluto sa ganitong kaliit na kusina.	It’s hard to cook in a kitchen this small.
Mahirap makitungo sa taong bastos.	It’s hard to deal with a rude person.
Mahirap matanto kung ano ang kanilang motibo.	It’s hard to get what their motive is.
Mahirap matutong mag-Tagalog.	It’s difficult to learn how to speak Tagalog.
mahirap para sa akin	difficult for me
mahirap para sa iyo	difficult for you
Mahirap tanggalin ang pintura.	It’s difficult to remove the paint.
mahirap	difficult, hard
mahirap	poor, indigent
mahuli	was able to be caught
mahulog	to fall, drop
mahusay	skillful, capable, methodical
maiba	to feel out of place
maigilid	be able to move something to the side
maiitim na pusa	black cats
mailagay	to be able to put
Mainam na ang pipit na nasa kamay kaysa lawing lumilipad.	Better to have a small bird in the hand than a soaring hawk.
mainam	respectable, temperate, modest
maingay	noisy
mainggitin	prone to jealousy
Mainit ang panahon.	The weather’s hot.
mainit ang ulo	hot-headed, quick to anger
mainit ang úlo	to have a “hot” head
Mainit ba sa Pilipinas?	Is it hot in the Philippines?
mainit na babae	hot woman
mainit na mainit	very hot
mainit na pagtanggap	warm welcome
mainit na pagtanggap	warm welcome
mainit na tubig	hot water
Mainit talaga ngayon ang kantang ito.	This song is very hot these days.
mainitin ang úlo	to be hotheaded
maipagpapatawad	excusable
maisagawa            magawa             maipagawa	to put into action   to be able to do   to be able to have something done
maitim	blackish, dark
makabayang Pilipino	patriotic Filipino
makabuti	to benefit
makaisip	to be able to think
makalangit	celestial, heavenly
makalat	messy
makalimutin / makakalimutin / malilimutin	forgetful
makalipas ang 54 taon	after 54 years
makaluma	olden, old-fashioned
makamtan ang tagumpay	achieve success
Makapal ang alikabok.	The dust is thick.
makapal na alikabok	thick dust
makapitó	seven times
makasarili	selfish
makasaysáyan	historic
makatagal	to be able to last
makatagpô	to discover, come across
makatao	humanitarian
makataong kabuhayan	humane livelihood
makatotohanan	realistic
makatwiran	rational, reasonable
makauri	adjectival
makibaka	to battle
makipagkapwa-tao	to get along with others
makipagkasundo	to make a contract
makipagpalitan ng kuru-kuro sa mga samu’t-saring mga paksa	exchange opinions on various topics
makipagpalitan	to exchange, to barter
makipagtawaran	to engage in haggling with someone
makipag-usap	to converse, communicate with
makisabay sa pagpadyak ng mga paa	to synch with the forceful steps of the feet
makisabay	to go at the same time
makislap	luminous, brilliant, glittering, lambent, lucent
makita	to be able to see
makitid ang utak	narrow-minded
makiusap	to request, ask for, plead
Makulay ang buhay.	Life is colorful.
makulay na buhay	colorful life
makulay na gulay	colorful vegetables
makulay	colorful, colourful
Makulit ka talaga!	You’re really such a pain in the ass.
makulit	importunate
mala-anghel	like an angel
malabiga: palapuna, palapintas, mapintasin, kritikon; madaldal,	maslita, mabunganga, masatsat, mabibig
Malabo ang matá ni Lola.	Grandma has poor eyesight.
malabo ang matá	blurry-eyed
malabò ang mata	to have poor eyesight
malabo	unclear, blurred, foggy
malabong mangyari	unlikely to happen
malabong pahayág	ambiguous statement
malabutil	granular
Malakas ang bulóng sa sigaw.	A whisper is louder than yelling.
malakas na agos ng tubig	strong flow of water
malakas na ulan	strong rain
Malakas siya.	He/She is strong.
malaki  maliit  mataas  mababa  maganda    maitim  maputi  matanda	big     small   high    low     beautiful  black   white   old
Malaki ang barkong ito.	This ship is big.
Malaki ang kinita ko.	I earned a lot.
malaki ang úlo	bigheaded, full of himself/herself
malaki man	even if big
malaki	big
malaki	big, large
malaking dagâ	large rat
Malaking gastos ito.	This is a big expense.
malaking ilong	big nose
malaking kita	a large income
malaking pagkakagusto	big crush (on someone)
malaking pangyayari	a big incident
malaking piraso	large piece
malaking pusa	large cat
malaking tawa	big laugh
mala-kolonyal	somewhat colonial
Malalâ ang kanyang kundisyon.	Her condition (sickness) is serious.
Malalambot ang mga ito.	These are soft.
malalambot na labi	soft lips
malalang ubó	a serious cough
malalim na sugat	deep wound
malalim	deep
malaman	meaty, substantial
Malambot ang kamay ng babae.	The woman’s hand is soft.
Malambot ang unan.	The pillow is soft.
Malambot ito.	This is soft.
malambot na kamay	soft hand
Malamig dito.	It’s cold here.
Malamig doon.	It’s cold there.
malamig na pagtanggap	cold reception
malamig na tubig	cold water
malamig	cold, cool
malansang amoy	a fishy smell
malaot	far away, far out in the open sea
Malapit ang trabaho ko dito.	My work is near here.
Malapit ang trabaho ko dito.	My work is near here.
Malapit kong kamag-anak.	Close kin of mine.
Malapit na ang alas dose.	It’s almost twelve o’clock.
Malapit na.	It’ll be soon.
Malapit nang lumubóg ang araw.	The sun is about to set.
malapit	near, close
malapit	soon
malapot na matamis; tunaw na matamis na panghalo sa inumin ng kabayo;	arnibal, sirup; puyaw, bagkat
malasakit: pagdamay, sanggalang, tangkilik, taguyod, pagmamahal;	pakialam
malasin	to observe, look intently at
mala-sutlang buhok	hair like silk
malasutlang dagat	silken sea/ocean
malawak	extensive, vast, with a wide range
malaya	free, emancipated
malayang gumulong	rolled freely
malayang oras	leisure time
Malayo man ang narating	Even if one has gone far (achieved much)
malayò	far
Mali ang ginawa mo.	What you did was wrong.
Mali ba ang magselos?	Is it wrong to be jealous?
Mali ka.	You’re wrong.
mali	wrong
maliban kung	unless, if not
maliban kung	unless, if not
máligáw	to lose one’s way
maligáya	happy, joyful
Maligayang Araw ng Kalayaan!	Happy Independence Day!
Maligayang Bagong Taon!	[66]Happy New Year!
Maligayang Bati	Happy Birthday
Maligayang Ika-Lima ng Mayo!	Happy Cinco de Mayo!
Maligayang kaarawan!	[67]Happy birthday!
Maligayang Pagdating	Welcome
Maligayang Pasko	Merry Christmas
maliit na bagay	small thing
maliit na dagâ	small mouse
maliit na piraso	small piece
maliit na pusa	small cat
maliit	small
malikhain	creative
Malikhaing Pagsulat	Creative Writing
malikhaing pagsusulat	creative writing
Malimit gamitin sa anyong “swak na swak,” ang ibig sabihin nito ay	pasók na pasók o lápat na lápat.
malimutan	to forget, neglect
malinaw	clear, legible
malinis	clean, neat, hygienic
malinis	clear, chaste
malisya	malice
maliwanag, adj	bright, clear, explicit
Malubha ang kanyang kalagayan.	His/Her (medical) condition is serious.
malubhang sakit	serious sickness
malugi	to lose in a business deal
Malulugi ako.	I’ll lose money (on this deal).
Malungkot ako kapag may digmaan.	I’m sad when there’s war.
malungkot	sad
Malungkutin ang batang iyan. Laging malungkot.	That child is prone to sadness. Always sad.
malungkutin	prone to sadness
malupit	cruel, brutal
Mama Sita is also the name of a popular brand of food seasonings in the	Philippines.
mamá	mother
mamà	term of address for an unknown man
mamâ	to chew betel leaves
Mamahalin kita habambuhay.	I’ll love you as long as I live.
mamalengke	to go shopping in a wet market
mamalengke	to go shopping in a wet market
mamamangka	boatman, ferryman
Mamangka tayo.	Let’s go boating.
mamangka	to go by boat, to go boating
mamasukan	to have a job
mamatay	to die
Mamayâ mo na lang gawin.	Just do it later.
Mamayâ mo nang gawin.	Do it later.
Mamaya pa.	Not until later.
mamayang hapon	later this afternoon
mamayat	to become thin
mambabatas	lawmaker, legislator, solon
mamula	to blush
mamula-mula	to glow
mamulot	to pick up things, glean
mamultahan	to be fined
mamusta	to bet
man, adv	although, even if, with, too
managinip nang gising	to dream while awake
managinip	to dream
manakot	to scare
Manalamin ka muna bago mag-husga.	Use the mirror before passing judgment.
mananayaw (“danser”)	dancer
mananghali	to eat lunch
Mananghalian na tayo.	Let’s have lunch already.
mandaraya	cheater
mandaraya	one who goes around the rules
mandiri	to be disgusted by
mandirigma	warrior
mandurukot	pickpocket
maneho	drive
mang-aagaw	someone who snatches away (a thing or lover)
mangahulugan	to mean
mangako	to promise
mangaliwa	to double cross, to be unfaithful to
mangangalakal	trader, business person
mangangapit-bahay	to go neighboring
manggagamot	doctor
manggamot	to practice medicine
manghamak	to insult, disparage
manghuhula	fortune teller
mangilid ang luha	tears lining the eyes (about to cry)
mangkok	bowl
mangulo	to head, to preside
mangutang	to borrow (money)
Mangyaring tumayo tayo.	If we could please stand.
Mangyaring umupo po tayo.	If we could please sit.
Mangyayari ba ito?	Will this happen?
manhid	insensitive
manhid	numb
Manigong Bagong Taon!	Prosperous New Year!
Manilbi, manilbihan…	To serve…
manilip	to peek
maningil ng buhay	“collect life” = kill
maningil sa hangin	asking the wind to pay back a debt
maninilip	someone who peeks, a Peeping Tom
Maniniwala na sana ako.	I was about to believe.
manirahan	to reside
Maniwala ka kay Pedro.	Believe in Peter. / Trust in Peter.
Maniwala ka sa akin.	Trust in me. / Believe me.
Maniwala ka sa Diyos.	Believe in God. / Trust in God.
Maniwala ka sa kadalubhasaan ni Ana.	Believe / Trust in the expertise of Ana.
Maniwala ka sa sinasabi ng duktor.	Believe / Trust in what the doctor is saying.
manlalakò / manglalakò	itinerant peddler
manlalason	poisoner
manlamig	to be cold to someone
manlason	to poison (people)
manliligaw	suitor
manlumó	to feel depressed
manmanhid	to become numb
Manonood ako bukas.	I’ll watch tomorrow.
manonood	spectator
manoód	to watch
manukso	to tease
manukso	to tempt
manuluyan	to stay in someone else’s house
Many Filipinos and especially foreigners still get confused as to when	to use each.
manyakis	pervert
mapabatid	to let be known
mapabuti	to improve
mapagkunwari	prone to pretending
mapagmahal	affectionate
mapagod	to get tired
mapagpakumbaba	humble
mapagpapalit	interchangeable
mapagtiwala	to be trusting
Mapait ang buhay.	Life is bitter.
mapait na lihim	bitter secret
mapait na ngiti	bitter smile
mapalaot	to end up in the open sea
Mapanganib.	Dangerous to others.
mapangwasak	destructive
mapanira	destructive
mapanlikha	creative, inventive
mapansin	to happen to notice
Mapanukso ang panahon.	The weather is a tease.
mapanukso	in the habit of teasing
mapanuksong sayaw	teasing dance, seduction dance
mapanuri	critical, analytical
Mapapa-aga ang dating nila.	Their arrival will be earlier than expected.
mapapaaga	to become early
mapapait na alaala	bitter memories
mapasang-ayon	to be convinced, persuaded
mapayapa	peaceful
mapili	choosy
ma-pride	full of pride
mapula	reddish
mapunô	to be filled
Maputik ang daan.	The path is muddy.
maputik na kalye	muddy road
maputik	muddy
Marahil nagkasakit siya.	Perhaps he/she got sick.
Marahil pagod lang siya.	Perhaps she/he is merely tired.
Marami akong ginawang paghahanda.	I made a lot of preparations.
Marami pang ibang bugtong dito!	There are a lot of other riddles here!
marami	a lot, many, plenty
maraming beses	many times
Maraming daga sa tindahang ‘yun.	Many rats in that store.
Maraming gasgas ang kalahating ibaba ng pinto.	The lower half of the door has a lot of scratches.
maraming kuwento	many stories
Maraming salamat po sa inyo.	Many thanks to you. (formal)
Maraming salamat po.	Thank you very much. (formal)
Maraming salamat sa ‘yo.	Many thanks to you. (casual)
Maraming salámat.	Many thanks. / Thank you very much.
Maraming sekyu doon.	There are a lot of security guards there.
maraming tao	a lot of people
Maraming usa doon.	There are a lot of deer there.
maramot	stingy, selfish
maranasan	to experience
maranasan	to experience
mariin (madiin)	emphatic
Martes na. Magtrabaho na tayo.	It’s Tuesday already. Let’s work already.
Marunong akong kumanta.	I know how to sing.
Marunong akong magluto.	I know how to cook.
Marunong ba silang mag-Ingles?	Do they know how to (speak) English?
Marunong ba silang magsalita ng Ingles?	Do they know how to speak English?
Marunong ka bang mag-gitara?	Do you know how to play the guitar?
Marunong ka bang magluto?	Do you know how to cook?
Marunong ka bang magmaneho?	Do you know how to drive?
Marunong ka bang magsalita ng Tagalog?	Do you know how to speak Tagalog?
Marunong ka bang mag-Tagalog?	Do you know how to speak Tagalog?
Marunong kumanta si Esteban.	Steve knows how to sing.
Marunong silang kumanta.	They know how to sing.
marunong	to know how (to do a certain skill)
Mas gusto mo ba ang [66]bugbog o dignidad?	Do you prefer a beating or dignity?
Mas maaga bukas.	Earlier tomorrow.
Mas magaling ako!	I’m better (at this).
Mas magaling kang magsalita kaysa sa akin.	You speak better than I.
mas maganda	prettier
Mas malaki ito kaysa sa lapis.	This is bigger than the pencil.
Mas marami, mas masayá…	The  more, the merrier…
Mas masarap bang matulog o kumain?	Is it more enjoyable to sleep or to eat?
Mas masarap ito.	This is more delicious.
Mas matandâ ako.	I’m older.
Mas matangkad ako kaysa sa iyo.	I’m taller than you.
Mas mayaman ka.	You’re richer.
Mas pumapatok ang mga pelikulang may sikat na artista.	Movies with popular actors are a bigger hit.
masagabal	full of impediments
Masagana ang ani ng mga magsasaka.	The farmers’ harvest is plentiful.
masagana	plentiful
masaganang ani	rich harvest
Masaganang Bagong Taon!	Bountiful New Year!
masaganang taon	bountiful year
Masakit ang dibdib ko.	My chest hurts.
Masakit ang dibdib ni Lola.	Grandma’s chest hurts.
Masakit ang lalamuman ko.	My throat hurts.
Masakit ang paa ko.	My foot hurts.
Masakit ang puso ko.	My heart hurts.
Masakit ang puwit niya.	His/Her butt hurts.
Masakit ang tiyan ko.	My tummy hurts.
Masakit ang tiyan ko.	My tummy hurts.
Masakit pa rin ang ulo ko bagaman uminom na ako ng gamot.	My head still hurts despite my already taking medicine.
Masakit pagmalupitan ng babae.	It hurts to be treated harshly by a woman.
Masakit pagmalupitan ng babae.	It hurts to be treated harshly by a woman.
Masakit umibig.	It hurts to love.
masakit	painful, sore
masakit	painful, sore
masakote	to be caught, apprehended, arrested
masalita	talkative
Masama ang pakiramdam ko.	I feel bad.
Masamâ ito.	This is bad.
masamang babae	bad woman
masamang bata	bad child
masamang damo	bad “grass” = man
masamang dugô	bad blood
masamang dugô	bad blood
Masamang kumain ng maraming karne.	It’s bad to eat a lot of meat.
Masamang masama.	Very bad.
masamang panahon	bad weather
Masamang tao ka.	You’re a bad person.
masamang tao	bad person
masamang táo	bad person
Masarap ang karne.	The meat is delicious.
Masarap kasama ang pamilya.	It feels so good to be with family.
Masarap matulog.	It feels good to sleep.
Masarap matulog.	Sleeping is so enjoyable.
masaráp	delicious
masarap	feels good
Masasalubong mo ba ako?	Will you be able to come out and welcome me?
masasamang tao	bad people
Masayá ako para sa iyo.	I’m happy for you.
Masayá ako.	I’m happy.
Masayá ka ba sa kanya?	Are you happy with him/her?
Masaya ka ba?	Are you happy?
Masayá ka ba?	Are you happy?
Masaya ka?	You’re happy?
Masayá para sa iyo.	Happy for you.
masayá	glad
masaya	happy
masayá	happy
masayang-masaya	very happy
Masigla ang talakayan.	The discussion was lively.
masiglang talakayan	lively discussion
masikap	diligent, industrious
masikíp	tight
masinsin	dense
masinsing damo	dense grass
masira	spoil, damage, break down
masúkal na gubat	wild forest
